PID,county,state,area,poptotal,category,dot_size
1000,County_0,OH,0.04308214269240387,69957,Hydro_Region,352.36992856154427
1001,County_1,NY,0.010921200375825361,60053,Coal_Heavy,300.9202720225495
1002,County_2,CA,0.08695746799563742,72855,Wind_Farm,369.4924480797382
1003,County_3,NY,0.017759367526821352,17896,Solar_Mixed,90.54556205160928
1004,County_4,NY,0.037141659195185264,57761,Nuclear_Mixed,291.03349955171115
1005,County_5,WI,0.09075526719931842,64552,Nuclear_Mixed,328.2053160319591
1006,County_6,CA,0.09080160748969227,79454,Hydro_Region,402.7180964493815
1007,County_7,CA,0.05874222049047932,92600,Nuclear_Mixed,466.52453322942876
1008,County_8,CA,0.06370616303443294,29935,Solar_Mixed,153.497369782066
1009,County_9,NY,0.048117869368157186,39641,Solar_Mixed,201.09207216208944
1010,County_10,OH,0.03492291559433549,31711,Nuclear_Mixed,160.65037493566012
1011,County_11,CA,0.03793648635644286,72342,Solar_Mixed,363.9861891813866
1012,County_12,AZ,0.06716406876654826,14182,Hydro_Region,74.93984412599289
1013,County_13,NY,0.0739518350022028,89833,Coal_Heavy,453.60211010013217
1014,County_14,WI,0.07728421871669712,58276,Hydro_Region,296.0170531230018
1015,County_15,OH,0.07711754213753708,21541,Hydro_Region,112.33205252825222
1016,County_16,AZ,0.01775251875913868,84310,Solar_Mixed,422.6151511255483
1017,County_17,AZ,0.05202572589971943,46813,Coal_Heavy,237.18654355398317
1018,County_18,WI,0.014892494601414764,39198,Solar_Mixed,196.8835496760849
1019,County_19,OH,0.05670995499751753,10820,Wind_Farm,57.502597299851054
1020,County_20,NY,0.04753009261673705,26070,Solar_Mixed,133.2018055570042
1021,County_21,IL,0.08545485553445548,71768,Solar_Mixed,363.9672913320673
1022,County_22,OH,0.03982777606692669,13122,Solar_Mixed,67.9996665640156
1023,County_23,WI,0.0199506963963465,82559,Coal_Heavy,413.9920417837808
1024,County_24,AZ,0.02215429297449105,75543,Solar_Mixed,379.04425757846946
1025,County_25,NY,0.07472840369598514,85441,Coal_Heavy,431.6887042217591
1026,County_26,OH,0.0625485353818822,43786,Nuclear_Mixed,222.68291212291294
1027,County_27,IL,0.018595427470437173,8737,Wind_Farm,44.80072564822623
1028,County_28,IL,0.017149078519774784,38062,Coal_Heavy,191.33894471118649
1029,County_29,CA,0.0695823761740252,56237,Nuclear_Mixed,285.3599425704415
1030,County_30,CA,0.01618485554095645,53571,Coal_Heavy,268.8260913324574
1031,County_31,WI,0.07985810503968027,27510,Coal_Heavy,142.34148630238082
1032,County_32,OH,0.07003058930830218,21426,Wind_Farm,111.33183535849813
1033,County_33,OH,0.016914646354561483,39265,Hydro_Region,197.33987878127368
1034,County_34,AZ,0.017211205697241314,19850,Hydro_Region,100.28267234183448
1035,County_35,AZ,0.09386436417259991,68150,Coal_Heavy,346.381861850356
1036,County_36,AZ,0.041813017639270235,89312,Solar_Mixed,449.0687810583562
1037,County_37,CA,0.041504582500685734,91613,Nuclear_Mixed,460.55527495004117
1038,County_38,OH,0.07908796321688771,76910,Solar_Mixed,389.29527779301327
1039,County_39,OH,0.09051612907762799,54375,Solar_Mixed,277.30596774465766
1040,County_40,IL,0.09381009042494402,37435,Coal_Heavy,192.80360542549664
1041,County_41,CA,0.07403714574701004,59132,Coal_Heavy,300.10222874482065
1042,County_42,NY,0.04198206477012784,80945,Coal_Heavy,407.2439238862077
1043,County_43,CA,0.017097560919386846,84050,Coal_Heavy,421.2758536551632
1044,County_44,NY,0.07605748785383212,4983,Hydro_Region,29.478449271229927
1045,County_45,IL,0.057464361227543434,22662,Coal_Heavy,116.75786167365261
1046,County_46,WI,0.04605887078599299,25510,Hydro_Region,130.31353224715957
1047,County_47,OH,0.08704012273305256,80187,Hydro_Region,406.15740736398317
1048,County_48,IL,0.019451785996022864,42998,Coal_Heavy,216.15710715976138
1049,County_49,OH,0.05187313386472303,58846,Wind_Farm,297.3423880318834
1050,County_50,AZ,0.010965059805230621,8640,Nuclear_Mixed,43.85790358831384
1051,County_51,WI,0.04983615456950074,46547,Solar_Mixed,235.72516927417007
1052,County_52,WI,0.014785778432956176,56620,Hydro_Region,283.9871467059774
1053,County_53,IL,0.020099522882786117,17317,Nuclear_Mixed,87.79097137296716
1054,County_54,WI,0.019989730976053915,9564,Wind_Farm,49.01938385856324
1055,County_55,NY,0.0651828756798654,29345,Solar_Mixed,150.63597254079193
1056,County_56,WI,0.07341381473756098,81273,Solar_Mixed,410.7698288842537
1057,County_57,OH,0.059586345033258575,76859,Hydro_Region,387.87018070199554
1058,County_58,OH,0.09178466662033606,82765,Coal_Heavy,419.33207999722015
1059,County_59,OH,0.041863999259514846,76038,Wind_Farm,382.7018399555709
1060,County_60,OH,0.03428552733395816,54393,Hydro_Region,274.02213164003746
1061,County_61,NY,0.08383092589610412,68081,Wind_Farm,345.4348555537662
1062,County_62,CA,0.029005646274153474,31430,Coal_Heavy,158.89033877644923
1063,County_63,AZ,0.09187391585245196,77532,Coal_Heavy,393.1724349511471
